biosamp	group
SAMEA1904323	A. calliptera
SAMEA1904326	A. calliptera
SAMEA1904327	A. calliptera
SAMEA1904328	A. calliptera
SAMEA1920090	A. calliptera
SAMEA1920092	A. calliptera
SAMEA2661381	A. calliptera
SAMEA2661382	A. calliptera
SAMEA2661383	A. calliptera
SAMEA2661384	A. calliptera
SAMEA2661385	A. calliptera
SAMEA2661386	A. calliptera
SAMEA2661387	A. calliptera
SAMEA2661389	A. calliptera
SAMEA2661390	A. calliptera
SAMEA2661391	A. calliptera
SAMEA1877404	Massoko benthic
SAMEA1877436	Massoko benthic
SAMEA1877511	Massoko benthic
SAMEA1877425	Massoko benthic
SAMEA1877494	Massoko benthic
SAMEA1877464	Massoko benthic
SAMEA2661333	Massoko benthic
SAMEA2661334	Massoko benthic
SAMEA2661335	Massoko benthic
SAMEA2661336	Massoko benthic
SAMEA2661337	Massoko benthic
SAMEA2661338	Massoko benthic
SAMEA2661339	Massoko benthic
SAMEA2661341	Massoko benthic
SAMEA2661342	Massoko benthic
SAMEA2661343	Massoko benthic
SAMEA2661344	Massoko benthic
SAMEA2661345	Massoko benthic
SAMEA2661346	Massoko benthic
SAMEA2661347	Massoko benthic
SAMEA2661349	Massoko benthic
SAMEA2661350	Massoko benthic
SAMEA2661351	Massoko benthic
SAMEA2661352	Massoko benthic
SAMEA2661353	Massoko benthic
SAMEA2661354	Massoko benthic
SAMEA2661355	Massoko benthic
SAMEA2661357	Massoko benthic
SAMEA2661358	Massoko benthic
SAMEA2661359	Massoko benthic
SAMEA2661362	Massoko benthic
SAMEA2661363	Massoko benthic
SAMEA2661365	Massoko benthic
SAMEA2661370	Massoko benthic
SAMEA1877400	Massoko littoral
SAMEA1877402	Massoko littoral
SAMEA1877407	Massoko littoral
SAMEA1877442	Massoko littoral
SAMEA1877447	Massoko littoral
SAMEA1877507	Massoko littoral
SAMEA2661297	Massoko littoral
SAMEA2661298	Massoko littoral
SAMEA2661299	Massoko littoral
SAMEA2661300	Massoko littoral
SAMEA2661301	Massoko littoral
SAMEA2661303	Massoko littoral
SAMEA2661304	Massoko littoral
SAMEA2661306	Massoko littoral
SAMEA2661307	Massoko littoral
SAMEA2661308	Massoko littoral
SAMEA2661309	Massoko littoral
SAMEA2661310	Massoko littoral
SAMEA2661313	Massoko littoral
SAMEA2661316	Massoko littoral
SAMEA2661318	Massoko littoral
SAMEA2661319	Massoko littoral
SAMEA2661320	Massoko littoral
SAMEA2661321	Massoko littoral
SAMEA2661322	Massoko littoral
SAMEA2661324	Massoko littoral
SAMEA2661325	Massoko littoral
SAMEA2661326	Massoko littoral
SAMEA2661327	Massoko littoral
SAMEA2661328	Massoko littoral
SAMEA2661330	Massoko littoral
SAMEA2661331	Massoko littoral
SAMEA2661371	Massoko small
SAMEA2661373	Massoko small
SAMEA2661374	Massoko small
SAMEA2661375	Massoko small
SAMEA2661376	Massoko small
SAMEA2661377	Massoko small
SAMEA2661378	Massoko small
SAMEA2661379	Massoko small
SAMEA2661380	Massoko small
SAMEA2661392	Massoko small
SAMEA2661393	Massoko small
SAMEA2661394	Massoko small
SAMEA2661395	Massoko small
SAMEA2661396	Massoko small
SAMEA2661397	Massoko small
SAMEA2661398	Massoko small
SAMEA2661399	Massoko small
SAMEA2661400	Massoko small
SAMEA2661402	Massoko small
SAMEA2661403	Massoko small
SAMEA2661404	Massoko small
SAMEA2661405	Massoko small
SAMEA2661406	Massoko small
SAMEA2661407	Massoko small
SAMEA2661408	Massoko small
SAMEA2661409	Massoko small
SAMEA2661410	Massoko small
SAMEA2661411	Massoko small
SAMEA2661412	Massoko small
SAMEA2661413	Massoko small
SAMEA2661414	Massoko small
SAMEA2661415	Lake Itamba
SAMEA2661417	Lake Itamba
SAMEA2661418	Lake Itamba
SAMEA2661419	Lake Itamba
SAMEA2661420	Lake Itamba
SAMEA2661421	Lake Itamba
SAMEA2661422	Lake Itamba
SAMEA2661423	Lake Itamba
SAMEA2661424	Lake Itamba
SAMEA2661425	Lake Itamba
SAMEA2661426	Lake Itamba
SAMEA2661427	Lake Itamba
SAMEA2661428	Lake Itamba
SAMEA2661429	Lake Itamba
SAMEA2661430	Lake Itamba
SAMEA2661431	Lake Itamba
SAMEA2661432	Lake Itamba
SAMEA2661433	Lake Itamba
SAMEA2661434	Lake Itamba
SAMEA2661435	Lake Itamba
SAMEA2661436	Lake Itamba
SAMEA2661437	Lake Itamba
SAMEA2661438	Lake Itamba
SAMEA2661439	Lake Itamba
SAMEA2661440	Lake Itamba
SAMEA2661442	Lake Itamba
SAMEA2661443	Lake Itamba
SAMEA2661444	Lake Itamba
SAMEA2661445	Lake Itamba
SAMEA2661446	Lake Itamba
